chunk_id,text,question,reference_answer
Dissertation_Boettcher_Sebastian (1)_chunk_762.txt,"In the context of exploratory research, both data quality and completeness are of utmost importance, and sev- eral steps were taken to reflect that need.…",,
682772_chunk_106.txt,2 3dRawData375 3D(xyz)accelerometersignalinmilli-g 3 Hr 1 Heartratesignalinbpm 4 O2Sat 1 OxygenSaturation(Sp02%) TABLE III: Summary of the different Garmin devices and sensor 5 SimpleSpec 10 Spectralpowerin1secondwidefrequencybins(0-10Hz) configurations employed for this study.…,,
1-s2.0-S1525505023004055-main_chunk_23.txt,ysis.Thereisastrictneedforareferencestandard[20].…,,
Dissertation_Boettcher_Sebastian (1)_chunk_588.txt,"Potentialsolutionsaredependentonevaluationwithultra-long- term data recordings that include multiple seizures over periods of sometimes months, and thiskindofdataaregenerallynotreadilyavailabletoallresearchers.…",,
Dissertation_Boettcher_Sebastian (1)_chunk_1502.txt,"Thelabeldata,analogoustothefeaturedata,werestoredat2sintervals, and seizure events here were defined as consecutive intervals of labels classified as a seizure of at least 6s and at most 10min.…",,
Dissertation_Boettcher_Sebastian (1)_chunk_167.txt,"Among them are sensory auras (e.g., epigastric, olfactory, gustatory, auditory), emotional auras (e.g., pleasure, excitement, fear, anxiety), or psychic auras (e.g., disor- deredthoughts,déjàvu,hallucinations)[46,47].…",,
ijerph-18-05780-v3_chunk_294.txt,";Chakraborty,C.Applicationofhigherordercumulantfeatures forcardiachealthdiagnosisusingECGsignals.Int.J.NeuralSyst.2013,23,1350014. [CrossRef] 45. Pham,T.-H.;Vicnesh,J.;Wei,J.K.E.;Oh,S.L.;Arunkumar,N.;Abdulhay,E.W.;Ciaccio,E.J.…",,
fneur-12-690404_chunk_240.txt,"The seizure prediction characteristic: a general 59:1020–6.doi:10.1111/epi.14066 framework to assess and compare seizure prediction methods. Epilepsy 91. LeCun Y, Bengio Y, Hinton G. Deep learning. Nature. (2015) 521:436– Behav.…",,
Dissertation_Boettcher_Sebastian (1)_chunk_208.txt,"Acommontechniquetorecordcardiacactivityiselectrocardiography(ECG)which,likeEEG andEMG,alsorequireselectrodestobeplacedontheskin.…",,
fneur-12-690404_chunk_20.txt,activities.…,,
Dissertation_Boettcher_Sebastian (1)_chunk_1316.txt,"However, they do not specify further what type of FS they workedwith,onlyreferringtothedetectedseizuresascomplexpartial,anoldertermforfocal seizures. The work presented here is most comparable with that of Onorati et al.…",,
Dissertation_Boettcher_Sebastian (1)_chunk_662.txt,"Theprocessofobtaininginformedconsentisregulatedbyprinciplesembodiedinthecur- rent biomedical research on human subjects [288], which also considers the needs of vulner- able populations (e.g., children, cognitively impaired or unconscious patients) [289].…",,
Dissertation_Boettcher_Sebastian (1)_chunk_226.txt,"Theoutputofthesensorisathree-dimensionalvectorcom- prising the accelerations in any direction of a Cartesian coordinate system, including earth’s gravitational acceleration.…",,
Dissertation_Boettcher_Sebastian (1)_chunk_581.txt,"These rhythms can be captured by wearable devices recording data like heart rate (HR) or electrodermal activity [246, 247].…",,
Dissertation_Boettcher_Sebastian (1)_chunk_79.txt,. . . . . . . . . . . . . . . . . . . . . . . . . 66 4.1.3 Results . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 71 4.1.4 Discussion . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .…,,
Dissertation_Boettcher_Sebastian (1)_chunk_1003.txt,"DETECTIONOFTONIC-CLONICSEIZURES 71 First,thepredictionoutputofthemodelwassmoothedwithahysteresis-likefiltertoavoid single-sample positives or gaps in consecutive positive predictions.…",,
